"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000118308",0,1.3017309533277,0.575,0.189,0,"0","ENSG00000118308"
"ENSG00000127074",0,1.40119954821462,0.515,0.143,0,"0","ENSG00000127074"
"ENSG00000100721",0,1.24155103431038,0.498,0.148,0,"0","ENSG00000100721"
"ENSG00000251562",0,-1.04065144439783,0.981,0.962,0,"0","ENSG00000251562"
"ENSG00000112182",1.26876057852032e-320,1.63568996487973,0.412,0.119,2.97448230028304e-316,"0","ENSG00000112182"
"ENSG00000164104",4.15080359171898e-316,0.99167383932074,0.726,0.332,9.73114394042598e-312,"0","ENSG00000164104"
"ENSG00000225885",2.1542244997796e-307,1.68557019048041,0.303,0.066,5.0503639172833e-303,"0","ENSG00000225885"
"ENSG00000117632",5.70477047197372e-299,0.924873673306437,0.74,0.35,1.33742638944952e-294,"0","ENSG00000117632"
"ENSG00000137077",1.47712334846431e-248,-3.70320973198675,0.083,0.348,3.46296797813973e-244,"0","ENSG00000137077"
"ENSG00000176788",1.68843798044796e-244,1.02356590723947,0.429,0.147,3.95837400136219e-240,"0","ENSG00000176788"
"ENSG00000164032",2.36667232048885e-244,0.82595054982467,0.662,0.302,5.54842658815406e-240,"0","ENSG00000164032"
"ENSG00000166710",4.75034223213999e-227,-0.609977195474083,0.973,0.96,1.1136702329029e-222,"0","ENSG00000166710"
"ENSG00000137804",1.21401704483852e-225,1.21768463151132,0.301,0.085,2.84614155991942e-221,"0","ENSG00000137804"
"ENSG00000197061",3.34190921965433e-224,0.67155443733219,0.85,0.506,7.83477197455761e-220,"0","ENSG00000197061"
"ENSG00000123416",1.09218282886549e-217,0.70066686604908,0.799,0.449,2.56051342399226e-213,"0","ENSG00000123416"
"ENSG00000115355",8.14349241880772e-217,1.22337691020593,0.32,0.098,1.90916036266528e-212,"0","ENSG00000115355"
"ENSG00000131747",7.18483219951583e-210,1.11567696586129,0.352,0.118,1.68441206085449e-205,"0","ENSG00000131747"
"ENSG00000183624",1.9869130742201e-209,1.3239615595185,0.255,0.067,4.6581190112016e-205,"0","ENSG00000183624"
"ENSG00000111640",7.7023242817531e-207,0.674924816223509,0.803,0.45,1.8057329046142e-202,"0","ENSG00000111640"
"ENSG00000131378",1.35913719055445e-202,0.98869293995473,0.381,0.136,3.18636122953586e-198,"0","ENSG00000131378"
"ENSG00000198833",1.03637134301473e-200,0.882387714452281,0.418,0.157,2.42966897656372e-196,"0","ENSG00000198833"
"ENSG00000110777",1.22488567285733e-200,1.03813665201543,0.309,0.095,2.87162197144672e-196,"0","ENSG00000110777"
"ENSG00000092820",1.82181610759618e-196,0.856412350933997,0.46,0.185,4.27106568264848e-192,"0","ENSG00000092820"
"ENSG00000156738",1.42911885894736e-189,0.671334685634008,0.646,0.311,3.3504262529162e-185,"0","ENSG00000156738"
"ENSG00000113810",7.91392712287627e-185,0.952629191319852,0.405,0.159,1.85534107468711e-180,"0","ENSG00000113810"
"ENSG00000185697",2.35775357908107e-183,1.7945869551481,0.151,0.026,5.52751749079766e-179,"0","ENSG00000185697"
"ENSG00000121210",4.45169421347329e-175,1.24849784505888,0.273,0.086,1.04365519140668e-170,"0","ENSG00000121210"
"ENSG00000091490",1.67440448242117e-171,1.20792346763305,0.248,0.074,3.9254738685882e-167,"0","ENSG00000091490"
"ENSG00000205581",4.86138534374045e-170,0.793400311178746,0.395,0.155,1.13970317998651e-165,"0","ENSG00000205581"
