"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.99744903369089e-159,2.36746278133246,0.109,0.014,4.68281951458493e-155,"0","ENSG00000214595"
"2",4.38351741361026e-78,1.94894743446373,0.074,0.015,1.02767182244679e-73,"0","ENSG00000170396"
"3",1.04315951923807e-57,2.38400137568681,0.038,0.005,2.44558317690172e-53,"0","ENSG00000163618"
"4",1.91968098706906e-41,2.14203334774914,0.029,0.004,4.5005001060847e-37,"0","ENSG00000242290"
"5",2.51729961551097e-22,1.94584446742749,0.018,0.003,5.90155721860391e-18,"0","ENSG00000260303"
"6",6.32419185160159e-19,1.84145252933765,0.015,0.003,1.48264353768948e-14,"0","ENSG00000130413"
"7",3.093465285129e-16,2.15642928662395,0.011,0.002,7.25232001445642e-12,"0","ENSG00000177602"
"8",9.95871368573112e-16,1.88809451059708,0.011,0.002,2.3347208364828e-11,"0","ENSG00000005189"
"9",1.75646376509391e-15,1.97110727596537,0.011,0.002,4.11785365088617e-11,"0","ENSG00000258168"
"10",8.33713934472759e-14,2.05539620116675,0.011,0.002,1.95455894797794e-09,"0","ENSG00000156509"
"11",1.46649551920807e-105,0.937646542251338,0.562,0.414,3.43805209523139e-101,"1","ENSG00000117632"
"12",1.04321902234794e-31,1.02535400852221,0.286,0.218,2.44572267599252e-27,"1","ENSG00000100721"
"13",9.14644180189612e-31,0.994391563213787,0.285,0.218,2.14429181603653e-26,"1","ENSG00000127074"
"14",1.70044608983095e-05,2.03233650917406,0.011,0.004,0.398652581299967,"1","ENSG00000253140"
"15",0.000325174560999403,1.1048814134317,0.031,0.021,1,"1","ENSG00000165501"
"16",0.000453309694791629,0.934044341038327,0.092,0.077,1,"1","ENSG00000100526"
"17",0.00172076844426173,1.03139917756482,0.064,0.052,1,"1","ENSG00000073111"
"18",0.00222003125801999,1.04437962060326,0.069,0.057,1,"1","ENSG00000117399"
"19",0.00240828213201964,1.09076515343411,0.043,0.033,1,"1","ENSG00000075188"
"20",0.00788302686098697,0.922773264939357,0.058,0.048,1,"1","ENSG00000112303"
"21",1.73764835848903e-55,2.60881875454568,0.052,0.01,4.07374281164168e-51,"2","ENSG00000164483"
"22",1.12359974146248e-54,2.2805075738977,0.065,0.015,2.63416723388465e-50,"2","ENSG00000152270"
"23",3.52911109791748e-42,1.96114004884135,0.057,0.015,8.27364805795775e-38,"2","ENSG00000172292"
"24",3.28785037735677e-33,2.14584529401645,0.039,0.009,7.70803642467522e-29,"2","ENSG00000141506"
"25",5.7200144761834e-31,2.11101389527489,0.045,0.013,1.34100019379644e-26,"2","ENSG00000172673"
"26",1.28975842747544e-15,2.20188988703696,0.016,0.003,3.02370965737342e-11,"2","ENSG00000078081"
"27",7.1928153836123e-12,2.10726799825124,0.014,0.003,1.68628363853407e-07,"2","ENSG00000122025"
"28",3.91453465134369e-08,1.86427666384218,0.011,0.003,0.000917723503661015,"2","ENSG00000206190"
"29",1.01174450970799e-06,1.88670441131941,0.01,0.003,0.023719338285594,"2","ENSG00000169228"
"30",2.42885306439606e-05,1.91722617765324,0.011,0.004,0.569420312417012,"2","ENSG00000139970"
"31",2.70109764919481e-07,1.15032942602776,0.079,0.054,0.00633245332877232,"3","ENSG00000196329"
"32",1.94861243780966e-06,1.0479629595273,0.088,0.064,0.0456832699920097,"3","ENSG00000113088"
"33",0.000165026203794419,1.18916520323304,0.028,0.016,1,"3","ENSG00000213203"
"34",0.000183783748554228,1.35245871343925,0.027,0.016,1,"3","ENSG00000163508"
"35",0.000262065522233902,1.61184021887451,0.015,0.008,1,"3","ENSG00000163563"
"36",0.000472082285986592,1.04171310152513,0.046,0.033,1,"3","ENSG00000145649"
"37",0.000731761539784776,1.2581131688049,0.026,0.016,1,"3","ENSG00000246223"
"38",0.00116701917720594,1.10682904356195,0.056,0.043,1,"3","ENSG00000160654"
"39",0.00122325898282803,1.21741349903748,0.025,0.016,1,"3","ENSG00000133561"
"40",0.00582466378587779,1.2599540060779,0.014,0.008,1,"3","ENSG00000157978"
"41",0,2.89633748542107,0.797,0.238,0,"4","ENSG00000132465"
"42",0,2.67562131037141,0.954,0.542,0,"4","ENSG00000211899"
